userId,movieId,rating
1,1,0.7778
1,3,0.7778
1,6,0.7778
1,47,1.0
1,50,1.0
1,70,0.5556
1,101,1.0
1,110,0.7778
1,151,1.0
1,157,1.0
1,163,1.0
1,216,1.0
1,223,0.5556
1,231,1.0
1,235,0.7778
1,260,1.0
1,296,0.5556
1,316,0.5556
1,333,1.0
1,349,0.7778
1,356,0.7778
1,362,1.0
1,367,0.7778
1,423,0.5556
1,441,0.7778
1,457,1.0
1,480,0.7778
1,500,0.5556
1,527,1.0
1,543,0.7778
1,552,0.7778
1,553,1.0
1,590,0.7778
1,592,0.7778
1,593,0.7778
1,596,1.0
1,608,1.0
1,648,0.5556
1,661,1.0
1,673,0.5556
1,733,0.7778
1,736,0.5556
1,780,0.5556
1,919,1.0
1,923,1.0
1,954,1.0
1,1023,1.0
1,1025,1.0
1,1029,1.0
1,1030,0.5556
1,1031,1.0
1,1032,1.0
1,1042,0.7778
1,1049,1.0
1,1060,0.7778
1,1073,1.0
1,1080,1.0
1,1089,1.0
1,1090,0.7778
1,1092,1.0
1,1097,1.0
1,1127,0.7778
1,1136,1.0
1,1196,1.0
1,1197,1.0
1,1198,1.0
1,1206,1.0
1,1208,0.7778
1,1210,1.0
1,1213,1.0
1,1214,0.7778
1,1219,0.3333
1,1220,1.0
1,1222,1.0
1,1224,1.0
1,1240,1.0
1,1256,1.0
1,1258,0.5556
1,1265,0.7778
1,1270,1.0
1,1275,1.0
1,1278,1.0
1,1282,1.0
1,1291,1.0
1,1298,1.0
1,1348,0.7778
1,1377,0.5556
1,1396,0.5556
1,1408,0.5556
1,1500,0.7778
1,1517,1.0
1,1552,0.7778
1,1573,1.0
1,1580,0.5556
1,1587,1.0
1,1617,1.0
1,1620,0.7778
1,1625,1.0
1,1644,0.5556
1,1676,0.5556
1,1732,1.0
1,1777,0.7778
1,1805,0.7778
1,1920,0.7778
1,1927,1.0
1,1954,1.0
1,1967,0.7778
1,2000,0.7778
1,2005,1.0
1,2012,0.7778
1,2018,1.0
1,2028,0.7778
1,2046,0.7778
1,2054,0.7778
1,2058,1.0
1,2078,1.0
1,2090,1.0
1,2094,1.0
1,2096,0.7778
1,2105,0.7778
1,2115,1.0
1,2116,1.0
1,2137,1.0
1,2139,1.0
1,2141,1.0
1,2143,0.7778
1,2161,1.0
1,2174,0.7778
1,2193,0.7778
1,2253,0.3333
1,2268,0.7778
1,2273,0.7778
1,2291,1.0
1,2329,1.0
1,2338,0.3333
1,2353,1.0
1,2366,0.7778
1,2387,1.0
1,2395,1.0
1,2406,0.7778
1,2414,0.5556
1,2427,1.0
1,2450,0.7778
1,2459,1.0
1,2470,1.0
1,2478,0.7778
1,2502,1.0
1,2528,0.5556
1,2529,1.0
1,2542,1.0
1,2571,1.0
1,2580,1.0
1,2596,1.0
1,2616,0.7778
1,2617,0.3333
1,2628,0.7778
1,2640,0.7778
1,2641,1.0
1,2648,0.7778
1,2657,0.5556
1,2692,1.0
1,2700,1.0
1,2716,1.0
1,2761,1.0
1,2797,0.7778
1,2826,0.7778
1,2858,1.0
1,2872,1.0
1,2916,0.7778
1,2944,1.0
1,2947,1.0
1,2948,1.0
1,2949,1.0
1,2959,1.0
1,2985,0.7778
1,2987,1.0
1,2991,1.0
1,2993,1.0
1,2997,0.7778
1,3033,1.0
1,3034,1.0
1,3052,1.0
1,3053,1.0
1,3062,0.7778
1,3147,1.0
1,3168,0.7778
1,3176,0.1111
1,3243,0.5556
1,3247,0.5556
1,3253,1.0
1,3273,1.0
1,3386,1.0
1,3439,0.7778
1,3440,0.7778
1,3441,1.0
1,3448,1.0
1,3450,1.0
1,3479,0.7778
1,3489,0.7778
1,3527,0.7778
1,3578,1.0
1,3617,0.7778
1,3639,0.7778
1,3671,1.0
1,3702,1.0
1,3703,1.0
1,3740,0.7778
1,3744,0.7778
1,3793,1.0
1,3809,0.7778
1,5060,1.0
4,21,0.5556
4,32,0.3333
4,45,0.5556
4,47,0.3333
4,52,0.5556
4,58,0.5556
4,125,1.0
4,162,1.0
4,176,1.0
4,215,1.0
4,222,0.1111
4,232,1.0
4,235,0.3333
4,247,0.5556
4,260,1.0
4,265,1.0
4,296,0.1111
4,319,1.0
4,342,1.0
4,345,0.7778
4,348,0.7778
4,351,0.5556
4,357,0.5556
4,368,0.7778
4,417,0.3333
4,441,0.1111
4,457,1.0
4,475,1.0
4,492,1.0
4,509,0.1111
4,538,1.0
4,539,0.1111
4,553,0.3333
4,588,0.7778
4,593,1.0
4,595,0.5556
4,599,0.3333
4,608,1.0
4,648,0.5556
4,708,0.7778
4,800,0.7778
4,892,0.7778
4,898,1.0
4,899,0.7778
4,902,0.7778
4,904,0.7778
4,908,1.0
4,910,1.0
4,912,1.0
4,914,1.0
4,919,1.0
4,920,1.0
4,930,1.0
4,1025,0.7778
4,1057,0.5556
4,1060,0.3333
4,1073,0.7778
4,1077,1.0
4,1079,0.3333
4,1080,1.0
4,1084,1.0
4,1086,1.0
4,1094,0.5556
4,1103,1.0
4,1136,1.0
4,1179,0.7778
4,1183,0.1111
4,1188,1.0
4,1196,1.0
4,1197,1.0
4,1198,0.5556
4,1199,0.3333
4,1203,1.0
4,1211,0.1111
4,1213,0.7778
4,1219,0.7778
4,1225,0.7778
4,1250,1.0
4,1259,0.7778
4,1265,0.7778
4,1266,0.7778
4,1282,1.0
4,1283,1.0
4,1288,0.7778
4,1291,0.7778
4,1304,0.5556
4,1391,0.1111
4,1449,1.0
4,1466,0.7778
4,1500,0.7778
4,1517,0.7778
4,1580,0.5556
4,1597,0.1111
4,1617,0.3333
4,1641,0.7778
4,1704,0.1111
4,1719,0.7778
4,1732,0.7778
4,1834,1.0
4,1883,0.7778
4,1885,0.5556
4,1892,0.3333
4,1895,0.7778
4,1907,0.5556
4,1916,0.1111
4,1923,0.5556
4,1947,1.0
4,1967,1.0
4,1968,0.7778
4,2019,0.3333
4,2076,0.7778
4,2078,1.0
4,2109,0.7778
4,2145,0.5556
4,2150,1.0
4,2174,1.0
4,2186,1.0
4,2324,0.1111
4,2336,0.3333
4,2359,0.7778
4,2395,0.5556
4,2406,0.7778
4,2467,0.7778
4,2571,0.1111
4,2583,1.0
4,2599,1.0
4,2628,0.1111
4,2683,0.7778
4,2692,1.0
4,2712,0.3333
4,2762,0.7778
4,2763,0.1111
4,2770,0.3333
4,2791,1.0
4,2858,1.0
4,2921,0.7778
4,2926,1.0
4,2959,0.3333
4,2973,0.3333
4,2997,0.7778
4,3033,0.7778
4,3044,1.0
4,3060,0.7778
4,3083,1.0
4,3160,0.7778
4,3175,0.1111
4,3176,0.7778
4,3255,0.7778
4,3317,0.7778
4,3358,0.5556
4,3386,0.7778
4,3408,0.7778
4,3481,0.3333
4,3489,0.1111
4,3508,1.0
