movieId,title
333,Tommy Boy (1995)
337,What's Eating Gilbert Grape (1993)
338,Virtuosity (1995)
339,While You Were Sleeping (1995)
342,Muriel's Wedding (1994)
344,Ace Ventura: Pet Detective (1994)
345,"Adventures of Priscilla, Queen of the Desert, The (1994)"
348,Bullets Over Broadway (1994)
349,Clear and Present Danger (1994)
350,"Client, The (1994)"
351,"Corrina, Corrina (1994)"
353,"Crow, The (1994)"
355,"Flintstones, The (1994)"
356,Forrest Gump (1994)
357,Four Weddings and a Funeral (1994)
361,It Could Happen to You (1994)
362,"Jungle Book, The (1994)"
364,"Lion King, The (1994)"
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)"
367,"Mask, The (1994)"
368,Maverick (1994)
370,Naked Gun 33 1/3: The Final Insult (1994)
371,"Paper, The (1994)"
372,Reality Bites (1994)
373,Red Rock West (1992)
374,Richie Rich (1994)
376,"River Wild, The (1994)"
377,Speed (1994)
379,Timecop (1994)
380,True Lies (1994)
381,When a Man Loves a Woman (1994)
382,Wolf (1994)
383,Wyatt Earp (1994)
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994)
410,Addams Family Values (1993)
412,"Age of Innocence, The (1993)"
413,Airheads (1994)
415,Another Stakeout (1993)
417,Barcelona (1994)
419,"Beverly Hillbillies, The (1993)"
420,Beverly Hills Cop III (1994)
421,Black Beauty (1994)
427,Boxing Helena (1993)
428,"Bronx Tale, A (1993)"
431,Carlito's Way (1993)
432,City Slickers II: The Legend of Curly's Gold (1994)
434,Cliffhanger (1993)
435,Coneheads (1993)
440,Dave (1993)
441,Dazed and Confused (1993)
442,Demolition Man (1993)
445,Fatal Instinct (1993)
454,"Firm, The (1993)"
455,Free Willy (1993)
457,"Fugitive, The (1993)"
466,Hot Shots! Part Deux (1993)
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)"
471,"Hudsucker Proxy, The (1994)"
474,In the Line of Fire (1993)
475,In the Name of the Father (1993)
477,What's Love Got to Do with It? (1993)
480,Jurassic Park (1993)
481,Kalifornia (1993)
485,Last Action Hero (1993)
489,Made in America (1993)
490,Malice (1993)
491,"Man Without a Face, The (1993)"
492,Manhattan Murder Mystery (1993)
493,Menace II Society (1993)
494,Executive Decision (1996)
497,Much Ado About Nothing (1993)
500,Mrs. Doubtfire (1993)
502,"Next Karate Kid, The (1994)"
507,"Perfect World, A (1993)"
508,Philadelphia (1993)
509,"Piano, The (1993)"
514,"Ref, The (1994)"
515,"Remains of the Day, The (1993)"
516,Renaissance Man (1994)
519,RoboCop 3 (1993)
520,Robin Hood: Men in Tights (1993)
524,Rudy (1993)
527,Schindler's List (1993)
529,Searching for Bobby Fischer (1993)
531,"Secret Garden, The (1993)"
532,Serial Mom (1994)
533,"Shadow, The (1994)"
534,Shadowlands (1993)
535,Short Cuts (1993)
537,Sirens (1994)
538,Six Degrees of Separation (1993)
539,Sleepless in Seattle (1993)
540,Sliver (1993)
541,Blade Runner (1982)
542,Son in Law (1993)
543,So I Married an Axe Murderer (1993)
546,Super Mario Bros. (1993)
551,"Nightmare Before Christmas, The (1993)"
552,"Three Musketeers, The (1993)"
553,Tombstone (1993)
555,True Romance (1993)
562,Welcome to the Dollhouse (1995)
575,"Little Rascals, The (1994)"
585,"Brady Bunch Movie, The (1995)"
586,Home Alone (1990)
587,Ghost (1990)
588,Aladdin (1992)
589,Terminator 2: Judgment Day (1991)
590,Dances with Wolves (1990)
592,Batman (1989)
593,"Silence of the Lambs, The (1991)"
594,Snow White and the Seven Dwarfs (1937)
595,Beauty and the Beast (1991)
596,Pinocchio (1940)
597,Pretty Woman (1990)
599,"Wild Bunch, The (1969)"
608,Fargo (1996)
609,Homeward Bound II: Lost in San Francisco (1996)
610,Heavy Metal (1981)
616,"Aristocats, The (1970)"
628,Primal Fear (1996)
631,All Dogs Go to Heaven 2 (1996)
637,Sgt. Bilko (1996)
640,Diabolique (1996)
647,Courage Under Fire (1996)
648,Mission: Impossible (1996)
653,Dragonheart (1996)
661,James and the Giant Peach (1996)
663,Kids in the Hall: Brain Candy (1996)
671,Mystery Science Theater 3000: The Movie (1996)
673,Space Jam (1996)
694,"Substitute, The (1996)"
707,Mulholland Falls (1996)
708,"Truth About Cats & Dogs, The (1996)"
709,Oliver & Company (1988)
714,Dead Man (1995)
719,Multiplicity (1996)
720,Wallace & Gromit: The Best of Aardman Animation (1996)
724,"Craft, The (1996)"
733,"Rock, The (1996)"
736,Twister (1996)
737,Barb Wire (1996)
741,Ghost in the Shell (Kôkaku kidôtai) (1995)
742,Thinner (1996)
743,Spy Hard (1996)
745,Wallace & Gromit: A Close Shave (1995)
748,"Arrival, The (1996)"
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
761,"Phantom, The (1996)"
762,Striptease (1996)
765,Jack (1996)
778,Trainspotting (1996)
780,Independence Day (a.k.a. ID4) (1996)
783,"Hunchback of Notre Dame, The (1996)"
784,"Cable Guy, The (1996)"
785,Kingpin (1996)
786,Eraser (1996)
788,"Nutty Professor, The (1996)"
798,Daylight (1996)
799,"Frighteners, The (1996)"
800,Lone Star (1996)
801,Harriet the Spy (1996)
802,Phenomenon (1996)
805,"Time to Kill, A (1996)"
810,Kazaam (1996)
830,"First Wives Club, The (1996)"
832,Ransom (1996)
836,Chain Reaction (1996)
837,Matilda (1996)
838,Emma (1996)
839,"Crow: City of Angels, The (1996)"
842,Tales from the Crypt Presents: Bordello of Blood (1996)
849,Escape from L.A. (1996)
852,Tin Cup (1996)
858,"Godfather, The (1972)"
866,Bound (1996)
880,"Island of Dr. Moreau, The (1996)"
892,Twelfth Night (1996)
898,"Philadelphia Story, The (1940)"
899,Singin' in the Rain (1952)
900,"American in Paris, An (1951)"
902,Breakfast at Tiffany's (1961)
903,Vertigo (1958)
904,Rear Window (1954)
905,It Happened One Night (1934)
908,North by Northwest (1959)
909,"Apartment, The (1960)"
910,Some Like It Hot (1959)
911,Charade (1963)
912,Casablanca (1942)
913,"Maltese Falcon, The (1941)"
914,My Fair Lady (1964)
915,Sabrina (1954)
916,Roman Holiday (1953)
919,"Wizard of Oz, The (1939)"
920,Gone with the Wind (1939)
922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)
923,Citizen Kane (1941)
924,2001: A Space Odyssey (1968)
926,All About Eve (1950)
928,Rebecca (1940)
930,Notorious (1946)
933,To Catch a Thief (1955)
934,Father of the Bride (1950)
951,His Girl Friday (1940)
952,Around the World in 80 Days (1956)
953,It's a Wonderful Life (1946)
954,Mr. Smith Goes to Washington (1939)
955,Bringing Up Baby (1938)
965,"39 Steps, The (1935)"
968,Night of the Living Dead (1968)
969,"African Queen, The (1951)"
986,Fly Away Home (1996)
991,Michael Collins (1996)
994,Big Night (1996)
996,Last Man Standing (1996)
999,2 Days in the Valley (1996)
1013,"Parent Trap, The (1961)"
1015,Homeward Bound: The Incredible Journey (1993)
1019,"20,000 Leagues Under the Sea (1954)"
1020,Cool Runnings (1993)
1021,Angels in the Outfield (1994)
1022,Cinderella (1950)
1023,Winnie the Pooh and the Blustery Day (1968)
1025,"Sword in the Stone, The (1963)"
1027,Robin Hood: Prince of Thieves (1991)
1028,Mary Poppins (1964)
1029,Dumbo (1941)
1030,Pete's Dragon (1977)
1031,Bedknobs and Broomsticks (1971)
1032,Alice in Wonderland (1951)
1033,"Fox and the Hound, The (1981)"
1035,"Sound of Music, The (1965)"
1036,Die Hard (1988)
1037,"Lawnmower Man, The (1992)"
1041,Secrets & Lies (1996)
1042,That Thing You Do! (1996)
1047,"Long Kiss Goodnight, The (1996)"
1049,"Ghost and the Darkness, The (1996)"
1057,Everyone Says I Love You (1996)
1059,William Shakespeare's Romeo + Juliet (1996)
1060,Swingers (1996)
1061,Sleepers (1996)
1064,Aladdin and the King of Thieves (1996)
1073,Willy Wonka & the Chocolate Factory (1971)
1077,Sleeper (1973)
1078,Bananas (1971)
1079,"Fish Called Wanda, A (1988)"
1080,Monty Python's Life of Brian (1979)
1081,Victor/Victoria (1982)
1084,Bonnie and Clyde (1967)
1086,Dial M for Murder (1954)
1088,Dirty Dancing (1987)
1089,Reservoir Dogs (1992)
1090,Platoon (1986)
1091,Weekend at Bernie's (1989)
1092,Basic Instinct (1992)
1093,"Doors, The (1991)"
1094,"Crying Game, The (1992)"
1095,Glengarry Glen Ross (1992)
1097,E.T. the Extra-Terrestrial (1982)
1100,Days of Thunder (1990)
1101,Top Gun (1986)
1103,Rebel Without a Cause (1955)
1104,"Streetcar Named Desire, A (1951)"
1120,"People vs. Larry Flynt, The (1996)"
1124,On Golden Pond (1981)
1125,"Return of the Pink Panther, The (1975)"
1127,"Abyss, The (1989)"
1129,Escape from New York (1981)
1131,Jean de Florette (1986)
1135,Private Benjamin (1980)
1136,Monty Python and the Holy Grail (1975)
1148,Wallace & Gromit: The Wrong Trousers (1993)
1171,Bob Roberts (1992)
1172,Cinema Paradiso (Nuovo cinema Paradiso) (1989)
1173,"Cook the Thief His Wife & Her Lover, The (1989)"
1175,Delicatessen (1991)
1178,Paths of Glory (1957)
1179,"Grifters, The (1990)"
1183,"English Patient, The (1996)"
1186,"Sex, Lies, and Videotape (1989)"
1188,Strictly Ballroom (1992)
1189,"Thin Blue Line, The (1988)"
1193,One Flew Over the Cuckoo's Nest (1975)
1194,Cheech and Chong's Up in Smoke (1978)
1196,Star Wars: Episode V - The Empire Strikes Back (1980)
1197,"Princess Bride, The (1987)"
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
1199,Brazil (1985)
1200,Aliens (1986)
1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)"
1203,12 Angry Men (1957)
1204,Lawrence of Arabia (1962)
1206,"Clockwork Orange, A (1971)"
1207,To Kill a Mockingbird (1962)
1208,Apocalypse Now (1979)
1209,Once Upon a Time in the West (C'era una volta il West) (1968)
1210,Star Wars: Episode VI - Return of the Jedi (1983)
1211,"Wings of Desire (Himmel über Berlin, Der) (1987)"
1212,"Third Man, The (1949)"
1213,Goodfellas (1990)
1214,Alien (1979)
1215,Army of Darkness (1993)
1216,"Big Blue, The (Grand bleu, Le) (1988)"
1217,Ran (1985)
1218,"Killer, The (Die xue shuang xiong) (1989)"
1219,Psycho (1960)
1220,"Blues Brothers, The (1980)"
1221,"Godfather: Part II, The (1974)"
1222,Full Metal Jacket (1987)
1223,"Grand Day Out with Wallace and Gromit, A (1989)"
1224,Henry V (1989)
1225,Amadeus (1984)
1227,Once Upon a Time in America (1984)
1228,Raging Bull (1980)
1230,Annie Hall (1977)
1231,"Right Stuff, The (1983)"
1233,"Boot, Das (Boat, The) (1981)"
1234,"Sting, The (1973)"
1235,Harold and Maude (1971)
1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)"
1240,"Terminator, The (1984)"
1242,Glory (1989)
1243,Rosencrantz and Guildenstern Are Dead (1990)
1244,Manhattan (1979)
1245,Miller's Crossing (1990)
1246,Dead Poets Society (1989)
1247,"Graduate, The (1967)"
1248,Touch of Evil (1958)
1249,"Femme Nikita, La (Nikita) (1990)"
1250,"Bridge on the River Kwai, The (1957)"
1251,8 1/2 (8½) (1963)
1252,Chinatown (1974)
1253,"Day the Earth Stood Still, The (1951)"
1254,"Treasure of the Sierra Madre, The (1948)"
1256,Duck Soup (1933)
1257,Better Off Dead... (1985)
1258,"Shining, The (1980)"
1259,Stand by Me (1986)
1260,M (1931)
1261,Evil Dead II (Dead by Dawn) (1987)
1262,"Great Escape, The (1963)"
1263,"Deer Hunter, The (1978)"
1265,Groundhog Day (1993)
1266,Unforgiven (1992)
1267,"Manchurian Candidate, The (1962)"
1269,Arsenic and Old Lace (1944)
1270,Back to the Future (1985)
1271,Fried Green Tomatoes (1991)
1272,Patton (1970)
1273,Down by Law (1986)
1274,Akira (1988)
1275,Highlander (1986)
1276,Cool Hand Luke (1967)
1277,Cyrano de Bergerac (1990)
1278,Young Frankenstein (1974)
1281,"Great Dictator, The (1940)"
1282,Fantasia (1940)
1283,High Noon (1952)
1284,"Big Sleep, The (1946)"
1285,Heathers (1989)
1287,Ben-Hur (1959)
1288,This Is Spinal Tap (1984)
1289,Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance) (1983)
1291,Indiana Jones and the Last Crusade (1989)
1292,Being There (1979)
1293,Gandhi (1982)
1295,"Unbearable Lightness of Being, The (1988)"
1296,"Room with a View, A (1986)"
1297,Real Genius (1985)
1298,Pink Floyd: The Wall (1982)
1299,"Killing Fields, The (1984)"
1301,Forbidden Planet (1956)
1302,Field of Dreams (1989)
1303,"Man Who Would Be King, The (1975)"
1304,Butch Cassidy and the Sundance Kid (1969)
1307,When Harry Met Sally... (1989)
1320,Alien³ (a.k.a. Alien 3) (1992)
1321,"American Werewolf in London, An (1981)"
1327,"Amityville Horror, The (1979)"
1333,"Birds, The (1963)"
1339,Dracula (Bram Stoker's Dracula) (1992)
1342,Candyman (1992)
1343,Cape Fear (1991)
1344,Cape Fear (1962)
1345,Carrie (1976)
1347,"Nightmare on Elm Street, A (1984)"
1348,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)"
1350,"Omen, The (1976)"
1356,Star Trek: First Contact (1996)
1357,Shine (1996)
1358,Sling Blade (1996)
1359,Jingle All the Way (1996)
1367,101 Dalmatians (1996)
1370,Die Hard 2 (1990)
1371,Star Trek: The Motion Picture (1979)
1372,Star Trek VI: The Undiscovered Country (1991)
1373,Star Trek V: The Final Frontier (1989)
1374,Star Trek II: The Wrath of Khan (1982)
1375,Star Trek III: The Search for Spock (1984)
1376,Star Trek IV: The Voyage Home (1986)
1377,Batman Returns (1992)
1378,Young Guns (1988)
1379,Young Guns II (1990)
1380,Grease (1978)
1381,Grease 2 (1982)
1385,Under Siege (1992)
1387,Jaws (1975)
1388,Jaws 2 (1978)
1391,Mars Attacks! (1996)
1393,Jerry Maguire (1996)
1394,Raising Arizona (1987)
1396,Sneakers (1992)
1405,Beavis and Butt-Head Do America (1996)
1407,Scream (1996)
1408,"Last of the Mohicans, The (1992)"
1409,Michael (1996)
1411,Hamlet (1996)
1416,Evita (1996)
1429,First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996)
1431,Beverly Hills Ninja (1997)
1438,Dante's Peak (1997)
1441,Benny & Joon (1993)
1449,Waiting for Guffman (1996)
1457,Fools Rush In (1997)
1459,Absolute Power (1997)
1464,Lost Highway (1997)
1466,Donnie Brasco (1997)
1474,Jungle2Jungle (a.k.a. Jungle 2 Jungle) (1997)
1476,Private Parts (1997)
1479,"Saint, The (1997)"
1480,Smilla's Sense of Snow (1997)
1483,Crash (1996)
1485,Liar Liar (1997)
1488,"Devil's Own, The (1997)"
1499,Anaconda (1997)
1500,Grosse Pointe Blank (1997)
1513,Romy and Michele's High School Reunion (1997)
1515,Volcano (1997)
1517,Austin Powers: International Man of Mystery (1997)
1518,Breakdown (1997)
1527,"Fifth Element, The (1997)"
1537,Shall We Dance? (Shall We Dansu?) (1996)
1544,"Lost World: Jurassic Park, The (1997)"
1552,Con Air (1997)
1556,Speed 2: Cruise Control (1997)
1562,Batman & Robin (1997)
1566,Hercules (1997)
1569,My Best Friend's Wedding (1997)
1573,Face/Off (1997)
1580,Men in Black (a.k.a. MIB) (1997)
1584,Contact (1997)
1586,G.I. Jane (1997)
1587,Conan the Barbarian (1982)
1588,George of the Jungle (1997)
1589,Cop Land (1997)
1590,Event Horizon (1997)
1591,Spawn (1997)
1597,Conspiracy Theory (1997)
1603,Mimic (1997)
1608,Air Force One (1997)
1610,"Hunt for Red October, The (1990)"
1614,In & Out (1997)
1615,"Edge, The (1997)"
1616,"Peacemaker, The (1997)"
1617,L.A. Confidential (1997)
1619,Seven Years in Tibet (1997)
1620,Kiss the Girls (1997)
1625,"Game, The (1997)"
1635,"Ice Storm, The (1997)"
1639,Chasing Amy (1997)
1641,"Full Monty, The (1997)"
1644,I Know What You Did Last Summer (1997)
1645,The Devil's Advocate (1997)
1653,Gattaca (1997)
1663,Stripes (1981)
1665,Bean (1997)
1672,"Rainmaker, The (1997)"
1673,Boogie Nights (1997)
1674,Witness (1985)
1676,Starship Troopers (1997)
1680,Sliding Doors (1998)
1682,"Truman Show, The (1998)"
1687,"Jackal, The (1997)"
1688,Anastasia (1997)
1690,Alien: Resurrection (1997)
1693,Amistad (1997)
1702,Flubber (1997)
1704,Good Will Hunting (1997)
1711,Midnight in the Garden of Good and Evil (1997)
1717,Scream 2 (1997)
1719,"Sweet Hereafter, The (1997)"
1721,Titanic (1997)
1722,Tomorrow Never Dies (1997)
1726,"Postman, The (1997)"
1729,Jackie Brown (1997)
1732,"Big Lebowski, The (1998)"
1735,Great Expectations (1998)
1747,Wag the Dog (1997)
1748,Dark City (1998)
1753,Half Baked (1998)
1754,Fallen (1998)
1769,"Replacement Killers, The (1998)"
1772,Blues Brothers 2000 (1998)
1777,"Wedding Singer, The (1998)"
1779,Sphere (1998)
1784,As Good as It Gets (1997)
1792,U.S. Marshals (1998)
1799,Suicide Kings (1997)
1801,"Man in the Iron Mask, The (1998)"
1805,Wild Things (1998)
1810,Primary Colors (1998)
1831,Lost in Space (1998)
1833,Mercury Rising (1998)
1834,"Spanish Prisoner, The (1997)"
1835,City of Angels (1998)
1845,Zero Effect (1998)
1848,"Borrowers, The (1997)"
1876,Deep Impact (1998)
1882,Godzilla (1998)
1883,Bulworth (1998)
1884,Fear and Loathing in Las Vegas (1998)
1885,"Opposite of Sex, The (1998)"
1892,"Perfect Murder, A (1998)"
1894,Six Days Seven Nights (1998)
1895,Can't Hardly Wait (1998)
1907,Mulan (1998)
1909,"X-Files: Fight the Future, The (1998)"
1911,Dr. Dolittle (1998)
1912,Out of Sight (1998)
1916,Buffalo '66 (a.k.a. Buffalo 66) (1998)
1917,Armageddon (1998)
1918,Lethal Weapon 4 (1998)
1920,Small Soldiers (1998)
1921,Pi (1998)
1923,There's Something About Mary (1998)
1944,From Here to Eternity (1953)
1945,On the Waterfront (1954)
1947,West Side Story (1961)
1950,In the Heat of the Night (1967)
1952,Midnight Cowboy (1969)
1953,"French Connection, The (1971)"
1954,Rocky (1976)
1955,Kramer vs. Kramer (1979)
1956,Ordinary People (1980)
1957,Chariots of Fire (1981)
1958,Terms of Endearment (1983)
1959,Out of Africa (1985)
1960,"Last Emperor, The (1987)"
1961,Rain Man (1988)
1962,Driving Miss Daisy (1989)
1963,Take the Money and Run (1969)
1965,Repo Man (1984)
1967,Labyrinth (1986)
1968,"Breakfast Club, The (1985)"
1970,"Nightmare on Elm Street 3: Dream Warriors, A (1987)"
1974,Friday the 13th (1980)
1982,Halloween (1978)
1991,Child's Play (1988)
1994,Poltergeist (1982)
1997,"Exorcist, The (1973)"
2000,Lethal Weapon (1987)
2001,Lethal Weapon 2 (1989)
2002,Lethal Weapon 3 (1992)
2003,Gremlins (1984)
2004,Gremlins 2: The New Batch (1990)
2005,"Goonies, The (1985)"
2006,"Mask of Zorro, The (1998)"
2009,Soylent Green (1973)
2010,Metropolis (1927)
2011,Back to the Future Part II (1989)
2012,Back to the Future Part III (1990)
2013,"Poseidon Adventure, The (1972)"
2018,Bambi (1942)
2019,Seven Samurai (Shichinin no samurai) (1954)
2020,Dangerous Liaisons (1988)
2021,Dune (1984)
2023,"Godfather: Part III, The (1990)"
2028,Saving Private Ryan (1998)
2046,Flight of the Navigator (1986)
2052,Hocus Pocus (1993)
2053,"Honey, I Blew Up the Kid (1992)"
2054,"Honey, I Shrunk the Kids (1989)"
2058,"Negotiator, The (1998)"
2059,"Parent Trap, The (1998)"
2060,BASEketball (1998)
2064,Roger & Me (1989)
2065,"Purple Rose of Cairo, The (1985)"
2067,Doctor Zhivago (1965)
2072,"'burbs, The (1989)"
2076,Blue Velvet (1986)
2078,"Jungle Book, The (1967)"
2080,Lady and the Tramp (1955)
2081,"Little Mermaid, The (1989)"
2082,"Mighty Ducks, The (1992)"
2083,"Muppet Christmas Carol, The (1992)"
2085,101 Dalmatians (One Hundred and One Dalmatians) (1961)
2087,Peter Pan (1953)
2088,Popeye (1980)
2090,"Rescuers, The (1977)"
2094,"Rocketeer, The (1991)"
2096,Sleeping Beauty (1959)
2100,Splash (1984)
2105,Tron (1982)
2108,L.A. Story (1991)
2109,"Jerk, The (1979)"
2110,Dead Men Don't Wear Plaid (1982)
2114,"Outsiders, The (1983)"
2115,Indiana Jones and the Temple of Doom (1984)
2116,"Lord of the Rings, The (1978)"
2117,1984 (Nineteen Eighty-Four) (1984)
2118,"Dead Zone, The (1983)"
2122,Children of the Corn (1984)
2123,All Dogs Go to Heaven (1989)
2124,"Addams Family, The (1991)"
2125,Ever After: A Cinderella Story (1998)
2126,Snake Eyes (1998)
2133,Adventures in Babysitting (1987)
2134,Weird Science (1985)
2135,Doctor Dolittle (1967)
2136,"Nutty Professor, The (1963)"
2137,Charlotte's Web (1973)
2139,"Secret of NIMH, The (1982)"
2140,"Dark Crystal, The (1982)"
2141,"American Tail, An (1986)"
2143,Legend (1985)
2144,Sixteen Candles (1984)
2145,Pretty in Pink (1986)
2146,St. Elmo's Fire (1985)
2150,"Gods Must Be Crazy, The (1980)"
2153,"Avengers, The (1998)"
2160,Rosemary's Baby (1968)
2161,"NeverEnding Story, The (1984)"
2167,Blade (1998)
2174,Beetlejuice (1988)
2186,Strangers on a Train (1951)
2193,Willow (1988)
2194,"Untouchables, The (1987)"
2231,Rounders (1998)
2232,Cube (1997)
2243,Broadcast News (1987)
2245,Working Girl (1988)
2247,Married to the Mob (1988)
2248,Say Anything... (1989)
2249,My Blue Heaven (1990)
2253,Toys (1992)
2268,"Few Good Men, A (1992)"
2273,Rush Hour (1998)
2278,Ronin (1998)
2288,"Thing, The (1982)"
2289,"Player, The (1992)"
2291,Edward Scissorhands (1990)
2294,Antz (1998)
2297,What Dreams May Come (1998)
2300,"Producers, The (1968)"
2301,History of the World: Part I (1981)
2302,My Cousin Vinny (1992)
2311,2010: The Year We Make Contact (1984)
2312,Children of a Lesser God (1986)
2313,"Elephant Man, The (1980)"
2318,Happiness (1998)
2321,Pleasantville (1998)
2324,Life Is Beautiful (La Vita è bella) (1997)
2325,Orgazmo (1997)
2329,American History X (1998)
2334,"Siege, The (1998)"
2335,"Waterboy, The (1998)"
2336,Elizabeth (1998)
2338,I Still Know What You Did Last Summer (1998)
2340,Meet Joe Black (1998)
2346,"Stepford Wives, The (1975)"
2352,"Big Chill, The (1983)"
2353,Enemy of the State (1998)
2355,"Bug's Life, A (1998)"
2359,Waking Ned Devine (a.k.a. Waking Ned) (1998)
2360,"Celebration, The (Festen) (1998)"
2366,King Kong (1933)
2367,King Kong (1976)
2369,Desperately Seeking Susan (1985)
2371,Fletch (1985)
2375,"Money Pit, The (1986)"
2376,"View to a Kill, A (1985)"
2378,Police Academy (1984)
2379,Police Academy 2: Their First Assignment (1985)
